##########
#=Mode Mon Dec 19 09:47:31 2016

#!SUBSYSTEM: k500gid25s
#!CREATE-TIME: 1482115651 Mon Dec 19 09:47:31 2016
#!COMMENT: zzzzzzzzzzzzz

@d:(gid25x4.matrix.G5L6_Umes)v2k-k500-1:23.G5L6.Umes_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L6_Uuvh)v2k-k500-1:23.G5L6.Uuvh_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L6_Imes)v2k-k500-1:23.G5L6.Imes    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L6_onoff)v2k-k500-1:23.G5L6.onoff    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L6_err)v2k-k500-1:23.G5L6.err    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L6_ena_gid)v2k-k500-1:23.G5L6.ena_gid    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L6_Dly_gid)v2k-k500-1:23.G5L6.Dly_gid    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5L6_ena_vsdc)v2k-k500-1:23.G5L6.ena_vsdc    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L6_Dly_vsdc)v2k-k500-1:23.G5L6.Dly_vsdc    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5L7_Uset)v2k-k500-1:23.G5L7.Uset    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L7_Umes)v2k-k500-1:23.G5L7.Umes_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L7_Uuvh)v2k-k500-1:23.G5L7.Uuvh_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L7_Imes)v2k-k500-1:23.G5L7.Imes    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L7_onoff)v2k-k500-1:23.G5L7.onoff    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L7_err)v2k-k500-1:23.G5L7.err    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L7_ena_gid)v2k-k500-1:23.G5L7.ena_gid    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L7_Dly_gid)v2k-k500-1:23.G5L7.Dly_gid    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5L7_ena_vsdc)v2k-k500-1:23.G5L7.ena_vsdc    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L7_Dly_vsdc)v2k-k500-1:23.G5L7.Dly_vsdc    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5L8_Uset)v2k-k500-1:23.G5L8.Uset    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L8_Umes)v2k-k500-1:23.G5L8.Umes_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L8_Uuvh)v2k-k500-1:23.G5L8.Uuvh_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L8_Imes)v2k-k500-1:23.G5L8.Imes    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L8_onoff)v2k-k500-1:23.G5L8.onoff    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L8_err)v2k-k500-1:23.G5L8.err    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L8_ena_gid)v2k-k500-1:23.G5L8.ena_gid    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L8_Dly_gid)v2k-k500-1:23.G5L8.Dly_gid    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5L8_ena_vsdc)v2k-k500-1:23.G5L8.ena_vsdc    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L8_Dly_vsdc)v2k-k500-1:23.G5L8.Dly_vsdc    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5KL2X_Uset)v2k-k500-1:23.G5KL2X.Uset    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5KL2X_Umes)v2k-k500-1:23.G5KL2X.Umes_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5KL2X_Uuvh)v2k-k500-1:23.G5KL2X.Uuvh_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5KL2X_Imes)v2k-k500-1:23.G5KL2X.Imes    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5KL2X_onoff)v2k-k500-1:23.G5KL2X.onoff    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5KL2X_err)v2k-k500-1:23.G5KL2X.err    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5KL2X_ena_gid)v2k-k500-1:23.G5KL2X.ena_gid    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5KL2X_Dly_gid)v2k-k500-1:23.G5KL2X.Dly_gid    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5KL2X_ena_vsdc)v2k-k500-1:23.G5KL2X.ena_vsdc    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5KL2X_Dly_vsdc)v2k-k500-1:23.G5KL2X.Dly_vsdc    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5KL3Z_Uset)v2k-k500-1:23.G5KL3Z.Uset    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5KL3Z_Umes)v2k-k500-1:23.G5KL3Z.Umes_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5KL3Z_Uuvh)v2k-k500-1:23.G5KL3Z.Uuvh_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5KL3Z_Imes)v2k-k500-1:23.G5KL3Z.Imes    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5KL3Z_onoff)v2k-k500-1:23.G5KL3Z.onoff    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5KL3Z_err)v2k-k500-1:23.G5KL3Z.err    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5KL3Z_ena_gid)v2k-k500-1:23.G5KL3Z.ena_gid    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5KL3Z_Dly_gid)v2k-k500-1:23.G5KL3Z.Dly_gid    0.0 @1.000000 <>
